,Amoxicillin,Amoxicillin-Clavulanic acid,Ampicillin,Chloramphenicol,Ciprofloxacin,Clindamycin,Daptomycin,Fosfomycin,Gentamicin,Gentamicin_high_level,Imipenem,Levofloxacin,Linezolid,Minocycline,Mupirocin,Nitrofurantoin,Norfloxacin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Teicoplanin,Tetracycline,Tigecycline,Vancomycin
Amoxicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34069258,0.8675986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14564382
Amoxicillin-Clavulanic acid,0.0,0.0,1.0,0.0,0.0,0.34188172,0.0,0.0,0.0,0.0,0.0,0.0,0.06142951,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1264911
Ampicillin,0.0,1.0,0.0,0.0,0.5389583,0.34767675,0.05724706,0.1554119,0.0,0.0,0.6114843,0.60607755,0.05062799,0.064519875,0.0,0.0384721,0.0,0.97030103,1.0,0.005306259,0.119636506,0.07297964,0.0,0.12249646
Chloramphenicol,0.0,0.0,0.0,0.0,0.04225879,0.0,0.0,0.0,0.0,0.0,0.0,0.048265457,0.6258328,0.10325812,0.0,0.0,0.0,0.0,0.0,0.21789658,0.27305079,0.12865771,0.0,0.27305079
Ciprofloxacin,0.0,0.0,0.5389583,0.04225879,0.0,0.0,0.06338725,0.09909474,0.0,0.0,0.2835466,0.83170676,0.034240913,0.062142882,0.0,0.074567504,0.0,0.5569796,0.0,0.046801448,0.08670883,0.07091849,0.0,0.089063175
Clindamycin,0.0,0.34188172,0.34767675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03673592,0.0,0.0,0.0,0.0,0.0,0.34188172,0.0,0.0,0.0,0.0,0.025
Daptomycin,0.0,0.0,0.05724706,0.0,0.06338725,0.0,0.0,0.0,0.0,0.0,0.0,0.060229283,0.041120347,0.16492245,0.0,0.0,0.0,0.05306585,0.0,0.0,0.0,0.11173887,0.0,0.0
Fosfomycin,0.0,0.0,0.1554119,0.0,0.09909474,0.0,0.0,0.0,0.0,0.0,0.0,0.07747883,0.01935152,0.0,0.0,0.16759887,0.0,0.17883007,0.0,0.0,0.32399628,0.0,0.0,0.32459745
Gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562,0.24425603,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047943503,0.0,0.0,0.05468723
Gentamicin_high_level,0.34069258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22148725,0.37305364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057007715,0.0,0.0,0.112261176
Imipenem,0.8675986,0.0,0.6114843,0.0,0.2835466,0.0,0.0,0.0,0.24253562,0.22148725,0.0,0.37597722,0.010250335,0.0,0.0,0.18349972,0.0,0.0,0.0,0.0,0.032443244,0.0,0.010086048,0.07784007
Levofloxacin,0.0,0.0,0.60607755,0.048265457,0.83170676,0.0,0.060229283,0.07747883,0.24425603,0.37305364,0.37597722,0.0,0.010064256,0.06256019,0.0,0.014116085,0.0,0.5911333,0.0,0.013449543,0.10223143,0.0048323893,0.023211917,0.13388862
Linezolid,0.0,0.06142951,0.05062799,0.6258328,0.034240913,0.03673592,0.041120347,0.01935152,0.020408163,0.0,0.010250335,0.010064256,0.0,0.0,0.0,0.06911741,0.0,0.047360223,0.06142951,0.06101231,0.32275277,0.0,0.0,0.24408962
Minocycline,0.0,0.0,0.064519875,0.10325812,0.062142882,0.0,0.16492245,0.0,0.0,0.0,0.0,0.06256019,0.0,0.0,0.0,0.010995119,0.0,0.05423735,0.0,0.0,0.0,0.7902087,0.0,0.0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitrofurantoin,0.0,0.0,0.0384721,0.0,0.074567504,0.0,0.0,0.16759887,0.0,0.0,0.18349972,0.014116085,0.06911741,0.010995119,0.0,0.0,0.0,0.03318411,0.0,0.0,0.07614609,0.06525418,0.0,0.03410769
Norfloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penicillin,0.0,0.0,0.97030103,0.0,0.5569796,0.0,0.05306585,0.17883007,0.0,0.0,0.0,0.5911333,0.047360223,0.05423735,0.0,0.03318411,0.0,0.0,0.0,0.0,0.11691232,0.080225915,0.0,0.118339635
Piperacillin-Tazobactam,0.0,1.0,1.0,0.0,0.0,0.34188172,0.0,0.0,0.0,0.0,0.0,0.0,0.06142951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264911
Pristinamycin,0.0,0.0,0.005306259,0.21789658,0.046801448,0.0,0.0,0.0,0.0,0.0,0.0,0.013449543,0.06101231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teicoplanin,0.0,0.0,0.119636506,0.27305079,0.08670883,0.0,0.0,0.32399628,0.047943503,0.057007715,0.032443244,0.10223143,0.32275277,0.0,0.0,0.07614609,0.0,0.11691232,0.0,0.0,0.0,0.0,0.0,0.75837296
Tetracycline,0.0,0.0,0.07297964,0.12865771,0.07091849,0.0,0.11173887,0.0,0.0,0.0,0.0,0.0048323893,0.0,0.7902087,0.0,0.06525418,0.0,0.080225915,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010086048,0.023211917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vancomycin,0.14564382,0.1264911,0.12249646,0.27305079,0.089063175,0.025,0.0,0.32459745,0.05468723,0.112261176,0.07784007,0.13388862,0.24408962,0.0,0.0,0.03410769,0.0,0.118339635,0.1264911,0.0,0.75837296,0.0,0.0,0.0
