,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Linezolid,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin,Vancomycin
Amikacin,0.0,0.0,0.2600674,0.0,0.0,0.0,0.0,0.0,0.13382445,0.09679881,0.5477567,0.0,0.0,0.0,0.0,0.36282712,0.086676285,0.0,0.8659719,0.0,0.0,0.191729,0.0,0.0,0.0,0.4283962,0.66100854,0.18349396,0.0,0.20213069,0.0,0.13495524,0.20432577,0.0,0.9596201,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.19485909,1.0,1.0,1.0,1.0,0.0,0.6387229,0.4924674,0.35382253,0.41501188,0.0,0.0,0.28005964,0.18835264,0.2622891,0.5322771,1.0,0.58909005,0.01566461,1.0,0.0,0.0,0.16994701,1.0,0.12239874,1.0,0.0,0.17866103,0.23398887,0.36272082,0.022095686,0.0,0.015682358
Ampicillin,0.2600674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008607093,0.0,0.22907202,0.0,0.0,0.0,0.0,0.25153506,0.06955409,0.0,0.2126344,0.0,0.0,0.058294058,0.0,0.0,0.0,0.23093238,0.36829105,0.0,0.0,0.07214769,0.0,0.040970642,0.13188615,0.0,0.24250886,0.0
Benzylpenicillin,0.0,0.19485909,0.0,0.0,0.0,0.19485909,0.0,0.0,0.0,0.13628756,0.13752283,0.08045903,0.0,0.0,0.0,0.16690391,0.039289773,0.14194527,0.088919215,0.0,0.13628756,0.0,0.0,0.0,0.0,0.024390243,0.19485909,0.0,0.0,0.0,0.016936993,0.0,0.08182341,0.0,0.0,0.0
Cefazolin,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.63763714,0.49358147,0.0,0.41633925,0.0,0.0,0.26725686,0.0,0.24915655,0.5368845,1.0,0.0,0.015904108,1.0,0.0,0.0,0.4767313,1.0,0.12327355,1.0,0.0,0.18050948,0.23611252,0.3620597,0.022162497,0.0,0.015904604
Cefepime,0.0,1.0,0.0,0.19485909,1.0,0.0,1.0,1.0,0.0,0.63643694,0.49162012,0.35382253,0.41633925,0.0,0.0,0.28005964,0.18835264,0.26131016,0.53378034,1.0,0.58909005,0.01566461,1.0,0.0,0.0,0.16994701,1.0,0.12327355,1.0,0.0,0.17845938,0.23398887,0.36272082,0.022095686,0.0,0.015665287
Ceftriaxone,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.63763714,0.49358147,0.0,0.41633925,0.0,0.0,0.26725686,0.0,0.24915655,0.5368845,1.0,0.0,0.015904108,1.0,0.0,0.0,0.4767313,1.0,0.12327355,1.0,0.0,0.18050948,0.23611252,0.3620597,0.022162497,0.0,0.015904604
Cefuroxime,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.63763714,0.49358147,0.0,0.41633925,0.0,0.0,0.26725686,0.0,0.24915655,0.5368845,1.0,0.0,0.015904108,1.0,0.0,0.0,0.4767313,1.0,0.12327355,1.0,0.0,0.18050948,0.23611252,0.3620597,0.022162497,0.0,0.015904604
Chloramphenicol,0.13382445,0.0,0.008607093,0.0,0.0,0.0,0.0,0.0,0.0,0.015686395,0.21914542,0.0,0.0,0.0,0.0,0.039704245,0.013144134,0.027573377,0.19462655,0.0,0.0,0.80819017,0.0,0.0,0.0,0.0,0.13437587,0.031204324,0.0,0.008575381,0.0,0.0,0.02206509,0.0,0.15816003,0.0
Ciprofloxacin,0.09679881,0.6387229,0.0,0.13628756,0.63763714,0.63643694,0.63763714,0.63763714,0.015686395,0.0,0.45572677,0.5903623,0.55364144,0.0,0.0,0.18944821,0.1029812,0.26929328,0.6482099,0.65228295,1.0,0.05964325,0.63763714,0.0,0.0,0.32822448,0.52984977,0.06049419,0.63763714,0.0,0.2693596,0.010897282,0.17202753,0.02169174,0.0,0.017156266
