,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Tigecycline,Tobramycin
Amikacin,0.0,0.29448214,0.49204195,0.6294366,0.4919566,0.0,0.21017358,0.6294366,1.0,0.0,0.0,0.4661204,0.70584744,0.0,0.34750143,0.0,1.0,0.40311834,0.7059032,0.0,0.34721518,0.0,0.29441598,0.023542775,1.0
Amoxicillin-Clavulanic acid,0.29448214,0.0,0.0,0.29448214,0.0,0.0,0.37911856,0.29516304,0.29516304,0.4824979,0.0,0.1547583,0.0,0.07857884,0.0,0.0,0.0,0.19861534,0.0,0.0,0.3196347,0.0,0.6892474,0.0,0.37168208
Aztreonam,0.49204195,0.0,0.0,1.0,0.8613059,0.73913044,0.0,0.73913044,0.0,0.0,0.0,0.6954823,0.49204195,0.0,0.47826087,0.26215205,0.49204195,0.0,0.49204195,0.0,0.6185537,0.0,0.0,0.0,0.49204195
Cefepime,0.6294366,0.29448214,1.0,0.0,0.8613059,0.73913044,0.21017358,0.7967949,1.0,0.2599982,0.0,0.6613032,0.44401917,0.0,0.4387472,0.26563826,0.4941971,0.2798333,0.4441609,0.0,0.60447055,0.0,0.29441598,0.0,0.62905824
Cefixime,0.4919566,0.0,0.8613059,0.8613059,0.0,0.8613059,0.0,1.0,0.0,0.0,0.0,0.59199655,0.4919566,0.0,0.47802198,0.0,0.4919566,0.0,0.4919566,0.0,0.4894763,0.0,0.0,0.0,0.4919566
Cefotaxime,0.0,0.0,0.73913044,0.73913044,0.8613059,0.0,0.0,0.73913044,0.0,0.0,0.0,0.44802606,0.0,0.0,0.2173913,0.26215205,0.0,0.0,0.0,0.0,0.4894763,0.0,0.0,0.0,0.0
Cefpodoxime,0.21017358,0.37911856,0.0,0.21017358,0.0,0.0,0.0,0.21017358,0.21017358,0.0,0.0,0.36732578,0.0,0.10459472,0.0,0.0,0.0,0.36732578,0.0,0.0,0.36732578,0.0,0.24071544,0.0,0.21017358
Ceftazidime,0.6294366,0.29516304,0.73913044,0.7967949,1.0,0.73913044,0.21017358,0.0,1.0,0.22718473,0.0,0.5886623,0.44401917,0.0,0.4387472,0.0,0.49507377,0.24794713,0.4441609,0.0,0.5188415,0.0,0.29441598,0.0,0.62905824
Ceftriaxone,1.0,0.29516304,0.0,1.0,0.0,0.0,0.21017358,1.0,0.0,0.0,0.0,0.5749694,0.0,0.0,0.0,0.0,0.0,0.57422096,0.0,0.0,0.57346237,0.0,0.29441598,0.0,1.0
Cefuroxime,0.0,0.4824979,0.0,0.2599982,0.0,0.0,0.0,0.22718473,0.0,0.0,0.0,0.22718473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27937213,0.0,0.6454972,0.0,0.0
Chloramphenicol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
