,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.014763373,0.0,0.031557407,0.08070624,0.035877194,0.03380181,0.0,0.69878757,0.11753548,0.47934875,0.0,0.07255313,0.1274448,0.0,0.15506019,0.0,0.0,0.16120824,0.0,0.12928864,0.0,0.0,0.11200848,0.0,0.0,0.009868802,0.0,0.5095315
Amoxicillin-Clavulanic acid,0.014763373,0.0,0.29667655,0.0,0.26440665,0.0,0.0,0.0,0.37824085,0.4109888,0.3076768,0.90918255,0.0,0.09883467,0.23904572,0.14529434,0.0,0.0,0.064852044,0.102323465,0.14576486,0.32469767,0.016162705,0.16013741,0.0,0.36482146,0.0,0.0,0.2069667
Ampicillin,0.0,0.29667655,0.0,0.30850735,0.3164034,0.33160427,0.33583927,0.18786728,0.0,0.31538785,0.26973313,0.22839686,0.40562683,0.34308067,0.69518167,0.6197507,0.054646526,0.19587961,0.35979918,0.020754622,0.36109695,0.12140703,0.0,0.39946532,0.94582075,0.32684654,0.9454637,0.0,0.307095
Aztreonam,0.031557407,0.0,0.30850735,0.0,0.88382214,0.9172308,0.95176417,0.0,0.0,0.9351251,0.0,0.36027935,0.20878556,0.34032536,0.0,0.0,0.16510507,0.21933188,0.37981716,0.027197672,0.3277729,0.16510507,0.0,0.33696,0.2945103,0.0,0.28586915,0.0,0.39174533
Cefepime,0.08070624,0.26440665,0.3164034,0.88382214,0.0,0.8594038,0.89828795,0.0,0.5101566,0.7610177,0.6876277,0.3847521,0.18003924,0.2565099,0.0,0.1709606,0.15652077,0.25271755,0.3417066,0.05193479,0.283277,0.3332969,0.0,0.31092393,0.3338725,0.48790947,0.3246191,0.0,0.34364748
Cefixime,0.035877194,0.0,0.33160427,0.9172308,0.8594038,0.0,0.96636903,0.0,0.0,0.94895285,0.0,0.36734185,0.11529949,0.33441412,0.0,0.0,0.17059307,0.25494656,0.37453097,0.026302133,0.32153478,0.17057908,0.0,0.35336712,0.29997933,0.0,0.29546174,0.0,0.38619652
Cefotaxime,0.03380181,0.0,0.33583927,0.95176417,0.89828795,0.96636903,0.0,0.0,0.0,0.9504104,0.0,0.37189838,0.18003924,0.35218036,0.0,0.0,0.16780251,0.24516809,0.3889429,0.026239129,0.33936277,0.16778834,0.0,0.3615684,0.3052667,0.0,0.29546174,0.0,0.40093702
Cefoxitin,0.0,0.0,0.18786728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56273144,0.0,0.2773501,0.0,0.0,0.0,0.0,0.42426407,0.21677749,0.0,0.0,0.0,0.2773501,0.0,0.0,0.0,0.0,0.0
Cefpodoxime,0.69878757,0.37824085,0.0,0.0,0.5101566,0.0,0.0,0.0,0.0,0.7883387,0.8991658,0.0,0.0,0.4334607,0.0,0.27832255,0.0,0.0,0.0,0.0,0.43315512,0.0,0.0,0.41428137,0.0,0.0,0.0,0.0,0.5556576
Ceftazidime,0.11753548,0.4109888,0.31538785,0.9351251,0.7610177,0.94895285,0.9504104,0.0,0.7883387,0.0,0.71400803,0.4012899,0.11529949,0.32992294,0.0,0.10878344,0.1544527,0.23757285,0.32351756,0.06255417,0.35422623,0.32928497,0.015244319,0.36888474,0.31641045,0.53225935,0.30677775,0.0,0.38749406
