,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Amikacin,0.0,0.0,0.07664955,0.0,0.06565322,0.0603494,0.0,0.0,0.0,0.12337795,0.0,0.081343636,0.0,0.17347635,0.3300125,0.0,0.12631048,0.0,0.11744443,0.23665565,0.0,0.22742942,0.84685993
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam,0.07664955,0.0,0.0,0.17618833,0.8486684,0.9282661,0.92880565,0.0,0.0,0.041504852,0.19261606,0.0,0.07664955,0.18410626,0.33813837,0.07664955,0.07050274,0.07664955,0.07537784,0.8645299,0.0,0.80178374,0.2526607
Cefepime,0.0,0.0,0.17618833,0.0,0.26261288,0.25410274,0.24671759,0.24297003,0.0,0.12467234,0.0,0.0,0.57237303,0.31437305,0.47260273,0.36427173,0.18477188,0.62818694,0.16489065,0.23665565,0.2717883,0.22742942,0.2453575
Cefixime,0.06565322,0.0,0.8486684,0.26261288,0.0,0.775,0.8107113,0.0,0.0,0.030457245,0.18411492,0.0,0.18411492,0.06324555,0.32444283,0.18411492,0.06324555,0.18411492,0.04210013,0.7092182,0.0,0.649519,0.2362278
Cefotaxime,0.0603494,0.0,0.9282661,0.25410274,0.775,0.0,0.8904261,0.0,0.0,0.21320072,0.17817417,0.0,0.17817417,0.3315393,0.3138824,0.17817417,0.2529822,0.17817417,0.26400846,0.78895336,0.0,0.72168785,0.2262185
Ceftazidime,0.0,0.0,0.92880565,0.24671759,0.8107113,0.8904261,0.0,1.0,0.0,0.081933364,0.09698745,0.16256402,0.13407531,0.25785792,0.3025992,0.044400282,0.106190875,0.13762046,0.048734814,0.82568526,0.8614203,0.7606047,0.0
Ceftriaxone,0.0,0.0,0.0,0.24297003,0.0,0.0,1.0,0.0,0.0,0.14292552,0.2611852,0.14473571,0.10091789,0.0,0.0,0.0,0.17471513,0.11302184,0.07913281,0.0,0.85192794,0.0,0.0
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciprofloxacin,0.12337795,0.0,0.041504852,0.12467234,0.030457245,0.21320072,0.081933364,0.14292552,0.0,0.0,0.0,0.31093255,0.32173556,0.43723142,0.24606286,0.21017982,0.96946365,0.32109672,1.0,0.086403325,0.16508862,0.052753497,0.23658217
Colistin,0.0,0.0,0.19261606,0.0,0.18411492,0.17817417,0.09698745,0.2611852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16594045,0.0,0.1594482,0.0
Cotrimoxazole,0.081343636,0.0,0.0,0.0,0.0,0.0,0.16256402,0.14473571,0.0,0.31093255,0.0,0.0,0.0,0.0,0.0,0.0,0.30490726,0.0,0.53970575,0.0,0.020956857,0.0,0.18427648
Ertapenem,0.0,0.0,0.07664955,0.57237303,0.18411492,0.17817417,0.13407531,0.10091789,0.0,0.32173556,0.0,0.0,0.0,0.17265882,0.56839854,0.70398486,0.33115247,1.0,0.26335692,0.16594045,0.11059568,0.1594482,0.1980495
Fosfomycin,0.17347635,0.0,0.18410626,0.31437305,0.06324555,0.3315393,0.25785792,0.0,0.0,0.43723142,0.0,0.0,0.17265882,0.0,0.4054792,0.174268,0.48336315,0.1700376,0.56360185,0.11233639,0.0,0.09128709,0.42034626
Gentamicin,0.3300125,0.0,0.33813837,0.47260273,0.32444283,0.3138824,0.3025992,0.0,0.0,0.24606286,0.0,0.0,0.56839854,0.4054792,0.0,0.49029034,0.3077935,0.5679618,0.2619684,0.29233077,0.0,0.28097573,0.8585272
Imipenem,0.0,0.0,0.07664955,0.36427173,0.18411492,0.17817417,0.044400282,0.0,0.0,0.21017982,0.0,0.0,0.70398486,0.174268,0.49029034,0.0,0.21581502,0.70392877,0.1654196,0.16594045,0.0020925493,0.1594482,0.12535597
