,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Ceftazidime,Ceftolozane-Tazobactam,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Norfloxacin,Piperacillin-Tazobactam,Tobramycin
Amikacin,0.0,0.018080493,0.0,0.049275782,0.065235406,0.0,0.018080493,0.007809442,0.16269214,0.07051861,0.018080493,0.00862101,0.08933706,0.61203235,0.05218586,0.14542975,0.19101298,0.022192106,0.18106605,0.42019418
Amoxicillin-Clavulanic acid,0.018080493,0.0,0.0,0.027343044,0.026166717,0.0,1.0,0.0,0.027343044,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029607058,0.0
Aztreonam,0.0,0.0,0.0,0.39456773,0.5386319,0.0,0.0,0.0,0.19321842,0.062165014,0.0,0.0,0.0,0.0,0.59346896,0.026140554,0.1394597,0.0,0.34240696,0.0
Cefepime,0.049275782,0.027343044,0.39456773,0.0,0.93284476,0.0,0.028488493,0.082328364,0.5194542,0.13596348,0.027343044,1.0,0.0,0.08902476,0.8283108,0.60196656,0.23349833,0.8591247,0.56946445,0.2122457
Ceftazidime,0.065235406,0.026166717,0.5386319,0.93284476,0.0,0.0,0.027343044,0.0,0.55233467,0.15407051,0.026166717,1.0,0.0,0.047130756,0.81165063,0.5859003,0.19810918,0.8591247,0.7210014,0.19091818
Ceftolozane-Tazobactam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27583864,0.015456117
Ceftriaxone,0.018080493,1.0,0.0,0.028488493,0.027343044,0.0,0.0,0.0,0.026166717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030702086,0.0
Cefuroxime,0.007809442,0.0,0.0,0.082328364,0.0,0.0,0.0,0.0,0.044509437,0.0,0.0,0.0,0.0,0.018788088,0.08088321,0.0,0.0,0.0,0.030067427,0.0
Ciprofloxacin,0.16269214,0.027343044,0.19321842,0.5194542,0.55233467,0.0,0.026166717,0.044509437,0.0,0.075714044,0.027343044,0.062630385,0.0,0.52004576,0.5855657,0.97161853,0.26151606,0.038734674,0.20780694,0.23997329
Colistin,0.07051861,0.0,0.062165014,0.13596348,0.15407051,0.0,0.0,0.0,0.075714044,0.0,0.0,0.008455991,0.12645516,0.0,0.14508836,0.11031025,0.057090264,0.016327756,0.12125909,0.1607206
Cotrimoxazole,0.018080493,1.0,0.0,0.027343044,0.026166717,0.0,1.0,0.0,0.027343044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029607058,0.0
Ertapenem,0.00862101,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.062630385,0.008455991,0.0,0.0,0.0,0.0,0.0,0.067138486,0.0,0.0,0.0,0.014107268
Fosfomycin,0.08933706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12645516,0.0,0.0,0.0,0.22861497,0.0,0.0,0.14100188,0.0,0.0,0.083569445
Gentamicin,0.61203235,0.0,0.0,0.08902476,0.047130756,0.0,0.0,0.018788088,0.52004576,0.0,0.0,0.0,0.22861497,0.0,0.09285209,0.31981146,0.35369778,0.0,0.012370394,1.0
Imipenem,0.05218586,0.0,0.59346896,0.8283108,0.81165063,0.0,0.0,0.08088321,0.5855657,0.14508836,0.0,0.0,0.0,0.09285209,0.0,0.60349053,0.4209781,0.7899834,0.35300845,0.20700538
Levofloxacin,0.14542975,0.0,0.026140554,0.60196656,0.5859003,0.0,0.0,0.0,0.97161853,0.11031025,0.0,0.067138486,0.0,0.31981146,0.60349053,0.0,0.2508151,0.03728852,0.21044607,0.29014575
Meropenem,0.19101298,0.0,0.1394597,0.23349833,0.19810918,0.0,0.0,0.0,0.26151606,0.057090264,0.0,0.0,0.14100188,0.35369778,0.4209781,0.2508151,0.0,0.03551851,0.41762754,0.31378642
Norfloxacin,0.022192106,0.0,0.0,0.8591247,0.8591247,0.0,0.0,0.0,0.038734674,0.016327756,0.0,0.0,0.0,0.0,0.7899834,0.03728852,0.03551851,0.0,0.0,0.016129032
Piperacillin-Tazobactam,0.18106605,0.029607058,0.34240696,0.56946445,0.7210014,0.27583864,0.030702086,0.030067427,0.20780694,0.12125909,0.029607058,0.0,0.0,0.012370394,0.35300845,0.21044607,0.41762754,0.0,0.0,0.21752453
Tobramycin,0.42019418,0.0,0.0,0.2122457,0.19091818,0.015456117,0.0,0.0,0.23997329,0.1607206,0.0,0.014107268,0.083569445,1.0,0.20700538,0.29014575,0.31378642,0.016129032,0.21752453,0.0
