,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Levofloxacin,Norfloxacin,Piperacillin-Tazobactam,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.5854299,0.0,0.0,0.62605613,0.48825067,0.5854299,0.0,0.4811118,0.0,0.39620292,0.32770705,0.0,0.50625926,0.4248861,0.60579467,0.0
Aztreonam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime,0.0,0.5854299,0.0,0.0,0.0,0.0,1.0,0.6652207,0.7957806,0.0,0.36990082,0.0,0.5528355,0.4437997,0.0,0.40818205,0.41566512,0.50871134,0.0
Cefixime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefotaxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefpodoxime,0.0,0.62605613,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48982945,0.0,0.5695479,0.0,0.0,0.48982945,0.48982945,0.0,0.0
Ceftazidime,0.0,0.48825067,0.0,0.6652207,0.0,0.0,0.0,0.0,0.6647021,0.0,0.27066597,0.0,0.4607292,0.4971401,0.0,0.29926333,0.0,0.57122254,0.0
Ceftriaxone,0.0,0.5854299,0.0,0.7957806,0.0,0.0,1.0,0.6647021,0.0,0.0,0.52614963,0.0,0.6990985,0.0,0.0,0.5528355,0.46129668,0.24611521,0.0
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16478826,0.0,0.0,0.0,0.0,0.0,0.35816765,0.0,0.0
Ciprofloxacin,0.0,0.4811118,0.0,0.36990082,0.0,0.0,0.48982945,0.27066597,0.52614963,0.16478826,0.0,0.0,0.37235022,0.0,0.0,0.9514658,0.9507029,0.15459193,0.0
Colistin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.0,0.39620292,0.0,0.5528355,0.0,0.0,0.5695479,0.4607292,0.6990985,0.0,0.37235022,0.0,0.0,0.0,0.0,0.37235022,0.25483653,0.16286887,0.0
Ertapenem,0.0,0.32770705,0.0,0.4437997,0.0,0.0,0.0,0.4971401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749193,0.0
Fosfomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levofloxacin,0.0,0.50625926,0.0,0.40818205,0.0,0.0,0.48982945,0.29926333,0.5528355,0.0,0.9514658,0.0,0.37235022,0.0,0.0,0.0,0.88881946,0.16286887,0.0
Norfloxacin,0.0,0.4248861,0.0,0.41566512,0.0,0.0,0.48982945,0.0,0.46129668,0.35816765,0.9507029,0.0,0.25483653,0.0,0.0,0.88881946,0.0,0.0,0.0
Piperacillin-Tazobactam,0.0,0.60579467,0.0,0.50871134,0.0,0.0,0.0,0.57122254,0.24611521,0.0,0.15459193,0.0,0.16286887,0.5749193,0.0,0.16286887,0.0,0.0,0.0
Tobramycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
