,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.020408163,0.0,0.0,0.0,0.0,0.14092337,0.24009375,0.0,0.042812716,0.14162615,0.0,0.13961136,0.0,0.13801046,0.0,0.0,0.02998501,0.5139562
Aztreonam,0.0,0.0,0.13738503,0.81088483,0.88325363,0.0,0.8490181,0.0,0.0,0.13576089,0.298422,0.0,0.13738503,0.24476077,0.16570732,0.0,0.32158434,0.0,0.47083157,0.69345665,0.0,0.6587299,0.027408103
Cefepime,0.0,0.13738503,0.0,0.12046772,0.12604702,0.0,0.103277795,0.0,0.0,0.0,0.0,0.0,0.0,0.029974533,0.0,0.034604676,0.0,0.0,0.0,0.13184425,0.0,0.10682068,0.0
Cefixime,0.0,0.81088483,0.12046772,0.0,0.83362955,0.0,0.821814,0.0,0.0,0.15275282,0.115203686,0.0,0.12046772,0.14380166,0.10872472,0.0,0.15183921,0.0,0.1537071,0.699901,0.0,0.58435065,0.03002867
Cefotaxime,0.0,0.88325363,0.12604702,0.83362955,0.0,0.0,0.9409297,0.0,0.0,0.17083973,0.21617654,0.0,0.12604702,0.17354831,0.15591876,0.0,0.25209528,0.0,0.3409889,0.7389144,0.0,0.6861196,0.04624973
Cefpodoxime,0.020408163,0.0,0.0,0.0,0.0,0.0,0.071428575,0.071428575,0.0,0.0,0.062347967,0.08467843,0.0,0.0,0.0,0.0,0.062347967,0.0,0.062347967,0.0,0.020833334,0.0,0.036092225
Ceftazidime,0.0,0.8490181,0.103277795,0.821814,0.9409297,0.071428575,0.0,1.0,0.0,0.17083973,0.2852512,0.065827414,0.101880305,0.10117623,0.18645938,0.13599783,0.27130836,0.065699466,0.33839408,0.7371865,0.28165284,0.6448144,0.0067151915
Ceftriaxone,0.0,0.0,0.0,0.0,0.0,0.071428575,1.0,0.0,0.0,0.0,0.20684299,0.07364852,0.0,0.0,0.0,0.0029055038,0.18456776,0.0,0.22681703,0.0,0.28178293,0.0,0.0
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026938623,0.043314807,0.0,0.0,0.018518519,0.0,0.0,0.69597054,0.044901326,0.0,0.0,0.0,0.0
Chloramphenicol,0.0,0.13576089,0.0,0.15275282,0.17083973,0.0,0.17083973,0.0,0.0,0.0,0.039878663,0.0,0.0,0.0,0.16685595,0.0,0.08246241,0.0,0.0,0.28038386,0.0,0.3712775,0.16685595
Ciprofloxacin,0.14092337,0.298422,0.0,0.115203686,0.21617654,0.062347967,0.2852512,0.20684299,0.026938623,0.039878663,0.0,0.5717965,0.121244356,0.0,0.5384444,0.1644821,0.97711563,0.060558874,0.9656945,0.32780504,0.17228153,0.5363943,0.45468134
Cotrimoxazole,0.24009375,0.0,0.0,0.0,0.0,0.08467843,0.065827414,0.07364852,0.043314807,0.0,0.5717965,0.0,0.0,0.0,0.5630925,0.14284314,0.55242527,0.0,0.4007431,0.0,0.13549356,0.0,0.27587163
Ertapenem,0.0,0.13738503,0.0,0.12046772,0.12604702,0.0,0.101880305,0.0,0.0,0.0,0.121244356,0.0,0.0,0.03059091,0.2298451,0.029440226,0.12337177,0.0,0.1423737,0.13184425,0.0,0.10682068,0.0
Fosfomycin,0.042812716,0.24476077,0.029974533,0.14380166,0.17354831,0.0,0.10117623,0.0,0.0,0.0,0.0,0.0,0.03059091,0.0,0.06104519,0.0,0.023145502,0.0,0.114893645,0.08281849,0.0,0.14781916,0.055522524
Gentamicin,0.14162615,0.16570732,0.0,0.10872472,0.15591876,0.0,0.18645938,0.0,0.018518519,0.16685595,0.5384444,0.5630925,0.2298451,0.06104519,0.0,0.12161925,0.5430728,0.03575485,0.44498745,0.3262549,0.0,0.33474198,0.7862459
Imipenem,0.0,0.0,0.034604676,0.0,0.0,0.0,0.13599783,0.0029055038,0.0,0.0,0.1644821,0.14284314,0.029440226,0.0,0.12161925,0.0,0.06747819,0.0,0.1508953,0.004268246,0.0,0.0,0.024969185
Levofloxacin,0.13961136,0.32158434,0.0,0.15183921,0.25209528,0.062347967,0.27130836,0.18456776,0.0,0.08246241,0.97711563,0.55242527,0.12337177,0.023145502,0.5430728,0.06747819,0.0,0.0,0.9626219,0.36546978,0.16461928,0.5683092,0.46602562
Nitrofurantoin,0.0,0.0,0.0,0.0,0.0,0.0,0.065699466,0.0,0.69597054,0.0,0.060558874,0.0,0.0,0.0,0.03575485,0.0,0.0,0.0,0.07903636,0.0,0.0,0.0,0.0
Norfloxacin,0.13801046,0.47083157,0.0,0.1537071,0.3409889,0.062347967,0.33839408,0.22681703,0.044901326,0.0,0.9656945,0.4007431,0.1423737,0.114893645,0.44498745,0.1508953,0.9626219,0.07903636,0.0,0.34375,0.33333334,0.5922419,0.39565483
Piperacillin,0.0,0.69345665,0.13184425,0.699901,0.7389144,0.0,0.7371865,0.0,0.0,0.28038386,0.32780504,0.0,0.13184425,0.08281849,0.3262549,0.004268246,0.36546978,0.0,0.34375,0.0,0.0,0.8391813,0.2039251
Piperacillin-Tazobactam,0.0,0.0,0.0,0.0,0.0,0.020833334,0.28165284,0.28178293,0.0,0.0,0.17228153,0.13549356,0.0,0.0,0.0,0.0,0.16461928,0.0,0.33333334,0.0,0.0,0.0,0.0
Ticarcillin,0.02998501,0.6587299,0.10682068,0.58435065,0.6861196,0.0,0.6448144,0.0,0.0,0.3712775,0.5363943,0.0,0.10682068,0.14781916,0.33474198,0.0,0.5683092,0.0,0.5922419,0.8391813,0.0,0.0,0.25325423
Tobramycin,0.5139562,0.027408103,0.0,0.03002867,0.04624973,0.036092225,0.0067151915,0.0,0.0,0.16685595,0.45468134,0.27587163,0.0,0.055522524,0.7862459,0.024969185,0.46602562,0.0,0.39565483,0.2039251,0.0,0.25325423,0.0
