,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.34694433,0.14695509,0.2619684,0.3086067,0.13365422,0.10324268,0.0,0.30444005,0.0,0.0,0.257479,0.12504835,0.17793322,0.0,0.0,0.30726647,0.0,0.0,0.0,0.34694433,0.114936076,0.29186502,0.0,0.48105738
Aztreonam,0.34694433,0.0,0.5729597,0.7550733,0.8894992,0.8894992,0.0,0.0,0.32040346,0.0,0.0,0.0,0.5729597,0.29963228,0.24198876,0.0,0.4309458,0.0,0.0,0.0,0.8782051,0.0,0.8412445,0.30794087,0.4309458
Cefepime,0.14695509,0.5729597,0.0,0.4326266,0.5096472,0.58240634,0.58592886,0.31574088,0.2319612,0.15771754,0.0,0.3917067,0.48101923,0.06066233,0.22454436,0.10820283,0.2640964,0.0,0.22580644,0.18863554,0.5729597,0.5532985,0.48199922,0.557086,0.37315702
Cefixime,0.2619684,0.7550733,0.4326266,0.0,0.7391562,0.6294377,0.0,0.0,0.20876336,0.0,0.0,0.0,0.4326266,0.042016808,0.18271926,0.0,0.32539567,0.0,0.0,0.0,0.64121306,0.0,0.6810112,0.21235074,0.32539567
Cefotaxime,0.3086067,0.8894992,0.5096472,0.7391562,0.0,0.8869048,0.0,0.0,0.27132443,0.18687063,0.0,0.0,0.5096472,0.3002822,0.21524881,0.0,0.38332593,0.0,0.0,0.0,0.7721347,0.0,0.72253007,0.26261288,0.38332593
Ceftazidime,0.13365422,0.8894992,0.58240634,0.6294377,0.8869048,0.0,0.96295923,0.4691239,0.2224045,0.1018954,0.0,0.22445016,0.5257304,0.13671346,0.1312122,0.06325118,0.25784284,0.0,0.0,0.1980746,0.7721347,0.8583867,0.72253007,0.26261288,0.33939034
Ceftriaxone,0.10324268,0.0,0.58592886,0.0,0.0,0.96295923,0.0,0.49565184,0.22503173,0.11105416,0.0,0.22939739,0.51298916,0.006251832,0.0,0.064623594,0.25501242,0.0,0.0,0.16827655,0.0,0.83588463,0.0,0.0,0.3244649
Cefuroxime,0.0,0.0,0.31574088,0.0,0.0,0.4691239,0.49565184,0.0,0.077664316,0.0,0.0,0.220439,0.0,0.0,0.0,0.0,0.0,0.0,0.4335743,0.08944272,0.0,0.48320863,0.0,0.0,0.0
Ciprofloxacin,0.30444005,0.32040346,0.2319612,0.20876336,0.27132443,0.2224045,0.22503173,0.077664316,0.0,0.051639777,0.0,0.44991547,0.26608303,0.03673592,0.4406846,0.0,0.9846344,0.0,0.0,0.9515098,0.32040346,0.24534458,0.24929568,0.6956083,0.48115158
Colistin,0.0,0.0,0.15771754,0.0,0.18687063,0.1018954,0.11105416,0.0,0.051639777,0.0,0.0,0.0,0.026627341,0.0,0.42365927,0.0,0.053588014,0.0,0.0,0.22596256,0.0,0.12708595,0.0,0.417365,0.0128273945
Cotrimoxazol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.257479,0.0,0.3917067,0.0,0.0,0.22445016,0.22939739,0.220439,0.44991547,0.0,0.0,0.0,0.106464714,0.0,0.0,0.0,0.47436544,0.0,0.5300977,0.32646585,0.0,0.13117324,0.0,0.0,0.6194721
Ertapenem,0.12504835,0.5729597,0.48101923,0.4326266,0.5096472,0.5257304,0.51298916,0.0,0.26608303,0.026627341,0.0,0.106464714,0.0,0.26744607,0.31180477,0.12951916,0.2848816,0.0,0.0,0.15379904,0.5729597,0.5554348,0.48199922,0.557086,0.23161595
Fosfomycin,0.17793322,0.29963228,0.06066233,0.042016808,0.3002822,0.13671346,0.006251832,0.0,0.03673592,0.0,0.0,0.0,0.26744607,0.0,0.09656091,0.0,0.33120677,0.0,0.0,0.0,0.29963228,0.30151135,0.13962154,0.24816039,0.33120677
Gentamicin,0.0,0.24198876,0.22454436,0.18271926,0.21524881,0.1312122,0.0,0.0,0.4406846,0.42365927,0.0,0.0,0.31180477,0.09656091,0.0,0.0,0.5623516,0.0,0.12289901,0.48989794,0.24198876,0.0,0.2035717,1.0,0.5623516
Imipenem,0.0,0.0,0.10820283,0.0,0.0,0.06325118,0.064623594,0.0,0.0,0.0,0.0,0.0,0.12951916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070380226,0.0,0.0,0.0
Levofloxacin,0.30726647,0.4309458,0.2640964,0.32539567,0.38332593,0.25784284,0.25501242,0.0,0.9846344,0.053588014,0.0,0.47436544,0.2848816,0.33120677,0.5623516,0.0,0.0,0.0,0.0,0.9731703,0.4309458,0.26868424,0.3625308,1.0,0.48947892
Meropenem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitrofurantoin,0.0,0.0,0.22580644,0.0,0.0,0.0,0.0,0.4335743,0.0,0.0,0.0,0.5300977,0.0,0.0,0.12289901,0.0,0.0,0.0,0.0,0.06792596,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.0,0.0,0.18863554,0.0,0.0,0.1980746,0.16827655,0.08944272,0.9515098,0.22596256,0.0,0.32646585,0.15379904,0.0,0.48989794,0.0,0.9731703,0.0,0.06792596,0.0,0.0,0.25868014,0.0,0.0,0.3187993
Piperacillin,0.34694433,0.8782051,0.5729597,0.64121306,0.7721347,0.7721347,0.0,0.0,0.32040346,0.0,0.0,0.0,0.5729597,0.29963228,0.24198876,0.0,0.4309458,0.0,0.0,0.0,0.0,0.0,0.8412445,0.30794087,0.4309458
Piperacillin-Tazobactam,0.114936076,0.0,0.5532985,0.0,0.0,0.8583867,0.83588463,0.48320863,0.24534458,0.12708595,0.0,0.13117324,0.5554348,0.30151135,0.0,0.070380226,0.26868424,0.0,0.0,0.25868014,0.0,0.0,0.0,0.0,0.1922194
Ticarcillin,0.29186502,0.8412445,0.48199922,0.6810112,0.72253007,0.72253007,0.0,0.0,0.24929568,0.0,0.0,0.0,0.48199922,0.13962154,0.2035717,0.0,0.3625308,0.0,0.0,0.0,0.8412445,0.0,0.0,0.24405149,0.3625308
Tigecycline,0.0,0.30794087,0.557086,0.21235074,0.26261288,0.26261288,0.0,0.0,0.6956083,0.417365,0.0,0.0,0.557086,0.24816039,1.0,0.0,1.0,0.0,0.0,0.0,0.30794087,0.0,0.24405149,0.0,1.0
Tobramycin,0.48105738,0.4309458,0.37315702,0.32539567,0.38332593,0.33939034,0.3244649,0.0,0.48115158,0.0128273945,0.0,0.6194721,0.23161595,0.33120677,0.5623516,0.0,0.48947892,0.0,0.0,0.3187993,0.4309458,0.1922194,0.3625308,1.0,0.0
