,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Teicoplanin,Tetracycline,Tigecycline
Amoxicillin-Clavulanic acid,0.0,1.0,1.0,1.0,1.0,0.86099684,0.20490386,0.73198915,0.6055442,0.0,0.0,0.8916937,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22571896,0.34559795,0.37989622,0.071428575
Cefazolin,1.0,0.0,1.0,1.0,1.0,0.8416254,0.18239658,0.7277562,0.5698029,0.0,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19245009,0.3581168,0.359459,0.0
Cefepime,1.0,1.0,0.0,1.0,1.0,0.8587782,0.22055744,0.7277562,0.6055442,0.0,0.0,0.8897565,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2236068,0.34559795,0.37989622,0.071428575
Ceftriaxone,1.0,1.0,1.0,0.0,1.0,0.8416254,0.18239658,0.7277562,0.5698029,0.0,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19245009,0.3581168,0.359459,0.0
Cefuroxime,1.0,1.0,1.0,1.0,0.0,0.8416254,0.18239658,0.7277562,0.5698029,0.0,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19245009,0.3581168,0.359459,0.0
Ciprofloxacin,0.86099684,0.8416254,0.8587782,0.8416254,0.8416254,0.0,0.27938154,0.8868208,0.61715466,0.0,0.0,0.9595419,0.8527823,0.0,0.8416254,0.4845437,0.8672582,0.0,0.8416254,0.25503913,0.31870693,0.35045695,0.08097763
Clindamycin,0.20490386,0.18239658,0.22055744,0.18239658,0.18239658,0.27938154,0.0,0.15042047,0.38028148,0.0,0.009134332,0.19409496,0.16958898,0.0,0.18239658,0.27216554,0.1978201,0.0,0.18239658,0.034419518,0.04161173,0.06118264,0.08014743
Cotrimoxazole,0.73198915,0.7277562,0.7277562,0.7277562,0.7277562,0.8868208,0.15042047,0.0,0.56736827,0.0,0.0,0.9232825,0.7277562,0.0,0.7277562,0.0,0.730929,0.0,0.7277562,0.0,0.33281964,0.3522023,0.0
Erythromycin,0.6055442,0.5698029,0.6055442,0.5698029,0.5698029,0.61715466,0.38028148,0.56736827,0.0,0.0,0.06835207,0.71787375,0.5915887,0.0,0.5698029,0.49236596,0.6572856,0.0,0.5698029,0.17829041,0.24034564,0.25845706,0.055570472
Fosfomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusidic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.009134332,0.0,0.06835207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22452606,0.07396758,0.03395216,0.17379321
Gentamicin,0.8916937,0.875,0.8897565,0.875,0.875,0.9595419,0.19409496,0.9232825,0.71787375,0.0,0.0,0.0,0.8841434,0.0,0.875,0.4845437,0.8996804,0.0,0.875,0.2621653,0.3267133,0.3528086,0.08056776
