0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16723199,0.0,0.0,0.0,0.0,0.0,0.0,0.832768
0.0,0.0,0.0,0.30059895,0.0,0.45583758,0.047157653,0.0,0.029312173,0.0,0.0,0.16709362,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.19153848,0.0,0.0,0.44950056,0.358961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010697158,0.0045559774,0.0,0.8781934,0.0,0.0,0.0,0.0,0.0011851895,0.0,0.0,0.030398764,0.04202574,0.014097902,0.0,0.018845784
0.0,0.41444287,0.0,0.4261671,0.09022288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916718
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0063031544,0.0,0.0,0.0,0.12085762,0.0,0.0,0.0,0.7924027,0.08043661,0.0,0.0
0.18590572,0.028695546,0.0,0.0,0.0,0.0,0.0018015582,0.26720557,0.0,0.0,0.0,0.12095969,0.21167709,0.0,0.0,0.1837548
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016422274,0.28764787,0.0,0.18896388,0.0,0.0,0.0,0.10064182,0.18796605,0.08676203,0.0,0.0,0.007295381,0.0,0.09492717,0.029373525
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8334846,0.16651537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8866166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11338341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
