,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Ceftazidime,Ceftriaxone,Chloramphenicol,Ciprofloxacin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Amikacin,0.0,0.0,0.04870286,0.0,0.0,0.12695087,0.05954706,0.0,0.18449646,0.0,0.05768732,0.0,0.0,0.058466174,0.14083378,0.16857389,0.0,0.014753854,0.0,1.0
Aztreonam,0.0,0.0,0.4402145,0.5242486,0.82602817,0.9590244,0.0,0.19599158,0.37311158,0.0,0.2519763,0.5732328,0.2519763,0.0,0.48697627,0.4163332,0.5886816,0.0,0.33139962,0.0
Cefepime,0.04870286,0.4402145,0.0,0.25841707,0.3008759,0.49838623,0.527129,0.0,0.12820975,0.7471989,0.0,0.2167222,0.5994499,0.0,0.20380509,0.0,0.36543176,0.37599912,0.3001831,0.11534197
Cefixime,0.0,0.5242486,0.25841707,0.0,0.58973545,0.5909725,0.0,0.0,0.019231712,0.0,0.25841707,0.12085383,0.25841707,0.0,0.0,0.0,0.58925563,0.0,0.35960174,0.0
Cefotaxime,0.0,0.82602817,0.3008759,0.58973545,0.0,0.8842048,0.0,0.13121809,0.24128765,0.0,0.3008759,0.41674677,0.3008759,0.0,0.33457133,0.0,0.3809524,0.0,0.29491836,0.0
Ceftazidime,0.12695087,0.9590244,0.49838623,0.5909725,0.8842048,0.0,1.0,0.1481739,0.26263386,0.54787517,0.20346712,0.41618645,0.46455482,0.18716533,0.33175257,0.22085719,0.47409487,0.8209918,0.378405,0.15972878
Ceftriaxone,0.05954706,0.0,0.527129,0.0,0.0,1.0,0.0,0.0,0.116986394,0.5479307,0.0,0.0,0.8548504,0.26244533,0.15530011,0.0,0.0,0.82105196,0.0,0.09535376
Chloramphenicol,0.0,0.19599158,0.0,0.0,0.13121809,0.1481739,0.0,0.0,0.1481739,0.0,0.13501543,0.21677749,0.13501543,0.0,0.23759548,0.0,0.13121809,0.0,0.024603391,0.0
Ciprofloxacin,0.18449646,0.37311158,0.12820975,0.019231712,0.24128765,0.26263386,0.116986394,0.1481739,0.0,0.0,0.0,0.26857919,0.0,0.0,0.9123109,0.8566627,0.0,0.0,0.0,0.17689493
Cotrimoxazole,0.0,0.0,0.7471989,0.0,0.0,0.54787517,0.5479307,0.0,0.0,0.0,0.0,0.0,0.8528029,0.0,0.0,0.0,0.0,0.5083798,0.0,0.0
Ertapenem,0.05768732,0.2519763,0.0,0.25841707,0.3008759,0.20346712,0.0,0.13501543,0.0,0.0,0.0,0.20576373,1.0,0.0,0.0,0.0,0.36543176,0.0,0.3001831,0.057438046
Fosfomycin,0.0,0.5732328,0.2167222,0.12085383,0.41674677,0.41618645,0.0,0.21677749,0.26857919,0.0,0.20576373,0.0,0.17746513,0.0,0.39591816,0.10770622,0.27412575,0.0,0.07213357,0.0
Gentamicin,0.0,0.2519763,0.5994499,0.25841707,0.3008759,0.46455482,0.8548504,0.13501543,0.0,0.8528029,1.0,0.17746513,0.0,0.0,0.0,0.0,0.36543176,0.0,0.3001831,0.0
Imipenem,0.058466174,0.0,0.0,0.0,0.0,0.18716533,0.26244533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25318485,0.0,0.05739575
Levofloxacin,0.14083378,0.48697627,0.20380509,0.0,0.33457133,0.33175257,0.15530011,0.23759548,0.9123109,0.0,0.0,0.39591816,0.0,0.0,0.0,0.5168766,0.0,0.0,0.0,0.14083378
Norfloxacin,0.16857389,0.4163332,0.0,0.0,0.0,0.22085719,0.0,0.0,0.8566627,0.0,0.0,0.10770622,0.0,0.0,0.5168766,0.0,0.0,0.0,0.0,0.1536732
Piperacillin,0.0,0.5886816,0.36543176,0.58925563,0.3809524,0.47409487,0.0,0.13121809,0.0,0.0,0.36543176,0.27412575,0.36543176,0.0,0.0,0.0,0.0,0.0,0.55786556,0.0
Piperacillin-Tazobactam,0.014753854,0.0,0.37599912,0.0,0.0,0.8209918,0.82105196,0.0,0.0,0.5083798,0.0,0.0,0.0,0.25318485,0.0,0.0,0.0,0.0,0.0,0.06198575
Ticarcillin,0.0,0.33139962,0.3001831,0.35960174,0.29491836,0.378405,0.0,0.024603391,0.0,0.0,0.3001831,0.07213357,0.3001831,0.0,0.0,0.0,0.55786556,0.0,0.0,0.0
Tobramycin,1.0,0.0,0.11534197,0.0,0.0,0.15972878,0.09535376,0.0,0.17689493,0.0,0.057438046,0.0,0.0,0.05739575,0.14083378,0.1536732,0.0,0.06198575,0.0,0.0
