,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefazolin,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.37721187,0.0,0.35637546,0.0,0.38206843,0.36460003,0.37456924,0.14922169,0.35939795,0.36951736,0.42391345,0.25732076,0.23007949,0.3869469,0.090532735,0.0,0.36875114,0.19131953,0.10836521,0.0522357,0.20092207,0.39251778,0.2190448,0.058523532,0.106844164,0.32884493,0.02106687,0.36389434,0.0,0.26134723,0.56488866
Amoxicillin-Clavulanic acid,0.37721187,0.0,0.0,0.0,0.0,0.6857679,0.0,0.0,0.26693705,0.67346996,0.7031473,0.6811428,0.74121296,0.0,0.554002,0.1246115,0.46256885,0.50992686,0.3317967,0.062693566,0.43067342,0.21505614,0.53189486,0.27294746,0.0,0.1603313,0.56097513,0.0,0.84186614,0.0,0.0,0.5888861
Ampicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02152222,0.0,0.0,0.0,0.03612059,0.02846127,0.046367407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam,0.35637546,0.0,0.0,0.0,0.0,0.93907785,0.9496038,0.95541567,0.25112188,0.0,0.90459406,0.0,0.5920191,0.23714297,0.7078505,0.10249018,0.0,0.0,0.324958,0.16614419,0.5812336,0.24681799,0.6898722,0.23659857,0.09236583,0.17027724,0.638847,0.041677237,0.0,0.0,0.2671395,0.67299134
Cefazolin,0.0,0.0,0.0,0.0,0.0,0.33427897,0.0,0.33427897,0.47598583,0.0,0.47636443,0.0,0.934785,0.0,0.29575282,0.0,0.0,0.0,0.33427897,0.10945986,0.20588632,0.0,0.0,0.0,0.0,0.19245009,0.21410574,0.0,0.0,0.0,0.0,0.20588632
Cefepime,0.38206843,0.6857679,0.0,0.93907785,0.33427897,0.0,0.8971084,0.9055722,0.34664932,0.8357492,0.8685038,0.8739601,0.5575888,0.30452088,0.6907387,0.1327558,0.46225017,0.57731426,0.49048182,0.20574369,0.6155039,0.34728262,0.69296646,0.32986915,0.10554401,0.22629175,0.616584,0.031919673,0.65857804,0.0,0.27876505,0.7108917
Cefixime,0.36460003,0.0,0.0,0.9496038,0.0,0.8971084,0.0,0.96938914,0.0,0.0,0.90755826,0.0,0.4453699,0.2758586,0.64700955,0.1680408,0.0,0.0,0.5999363,0.13678141,0.5575477,0.49625504,0.6136499,0.44605592,0.0,0.21910012,0.5152312,0.029087473,0.0,0.0,0.28177196,0.61760926
Cefotaxime,0.37456924,0.0,0.02152222,0.95541567,0.33427897,0.9055722,0.96938914,0.0,0.657019,0.0,0.9125196,0.0,0.459838,0.2892033,0.63627326,0.16036256,0.0,0.0,0.6145169,0.14523812,0.54784584,0.5104351,0.6073966,0.44517487,0.061164565,0.15334815,0.4968051,0.02600218,0.0,0.0,0.27827838,0.61626697
Cefoxitin,0.14922169,0.26693705,0.0,0.25112188,0.47598583,0.34664932,0.0,0.657019,0.0,0.0,0.5292581,0.23814483,0.41118455,0.0,0.37783644,0.18607908,0.0,0.0,0.62503964,0.23366618,0.2730689,0.46250463,0.23733717,0.44935772,0.16867708,0.16103327,0.38867125,0.0,0.586302,0.0,0.0,0.33007124
Cefpodoxime,0.35939795,0.67346996,0.0,0.0,0.0,0.8357492,0.0,0.0,0.0,0.0,0.9072018,0.9343954,0.0,0.0,0.5443705,0.1448414,0.0,0.52088124,0.30411348,0.0,0.0,0.17375521,0.5443705,0.17486866,0.0,0.0,0.5409339,0.0,0.7013134,0.0,0.0,0.7088478
