,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clarithromycin,Clindamycin,Cotrimoxazole,Doxycycline,Erythromycin,Fusidic acid,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Tetracycline,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.55272233,0.0,0.041102525,0.0,0.0,0.19172624,0.1611074,1.0,0.0,1.0,0.0,1.0,0.28716767,1.0,0.13189907,0.0
Ampicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13291861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2085144,1.0,0.0,0.0,0.0
Cefazolin,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.65933585,0.0,0.06004856,0.0,0.0,0.18900532,0.19620986,1.0,0.0,1.0,0.0,1.0,0.26631182,1.0,0.12981986,0.0
Cefepime,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6599378,0.0,0.06328827,0.0,0.0,0.19172624,0.19764635,1.0,0.0,1.0,0.0,1.0,0.26631182,1.0,0.13189907,0.0
Ceftriaxone,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.65933585,0.0,0.06004856,0.0,0.0,0.18900532,0.19620986,1.0,0.0,1.0,0.0,1.0,0.26631182,1.0,0.12981986,0.0
Cefuroxime,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.65933585,0.0,0.06004856,0.0,0.0,0.18900532,0.19620986,1.0,0.0,1.0,0.0,1.0,0.26631182,1.0,0.12981986,0.0
Ciprofloxacin,0.0,0.55272233,0.13291861,0.65933585,0.6599378,0.65933585,0.65933585,0.0,0.0,0.0,0.0,0.0,0.0,0.3084886,0.93573135,1.0,0.65933585,0.11236665,0.15410972,0.18917845,0.65933585,0.0,0.0
Clarithromycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clindamycin,0.0,0.041102525,0.0,0.06004856,0.06328827,0.06004856,0.06004856,0.0,0.0,0.0,0.0,0.0,0.9218147,0.0566991,0.0,0.0,0.06004856,0.0,0.050081152,0.06384616,0.06004856,0.042684503,0.0
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doxycycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythromycin,0.0,0.19172624,0.0,0.18900532,0.19172624,0.18900532,0.18900532,0.0,0.0,0.9218147,0.0,0.0,0.0,0.04702304,0.0,0.0,0.18900532,0.0,0.19863176,0.06866091,0.18900532,0.15072966,0.0
Fusidic acid,0.0,0.1611074,0.0,0.19620986,0.19764635,0.19620986,0.19620986,0.3084886,0.0,0.0566991,0.0,0.0,0.04702304,0.0,0.4354682,0.0,0.19620986,0.0,0.11974389,0.1282854,0.19620986,0.11327217,0.0
Imipenem,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.93573135,0.0,0.0,0.0,0.0,0.0,0.4354682,0.0,0.0,1.0,0.0,0.3805622,0.2569178,1.0,0.0,0.0
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09860133,0.0,0.0,0.0,0.0,0.0
Meropenem,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.65933585,0.0,0.06004856,0.0,0.0,0.18900532,0.19620986,1.0,0.0,0.0,0.0,1.0,0.26631182,1.0,0.12981986,0.0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11236665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09860133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxacillin,0.0,1.0,0.2085144,1.0,1.0,1.0,1.0,0.15410972,0.0,0.050081152,0.0,0.0,0.19863176,0.11974389,0.3805622,0.0,1.0,0.0,0.0,0.25131235,1.0,0.13720326,0.0
Penicillin,0.0,0.28716767,1.0,0.26631182,0.26631182,0.26631182,0.26631182,0.18917845,0.0,0.06384616,0.0,0.0,0.06866091,0.1282854,0.2569178,0.0,0.26631182,0.0,0.25131235,0.0,0.26631182,0.20637603,0.0
Piperacillin-Tazobactam,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.65933585,0.0,0.06004856,0.0,0.0,0.18900532,0.19620986,1.0,0.0,1.0,0.0,1.0,0.26631182,0.0,0.12981986,0.0
Tetracycline,0.0,0.13189907,0.0,0.12981986,0.13189907,0.12981986,0.12981986,0.0,0.0,0.042684503,0.0,0.0,0.15072966,0.11327217,0.0,0.0,0.12981986,0.0,0.13720326,0.20637603,0.12981986,0.0,0.0
Tobramycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
