,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.3377554,0.16311863,0.35640183,0.36914998,0.381845,0.35615364,0.0,0.3357251,0.33492774,0.38800928,0.14479725,0.0,0.33620253,0.08503951,0.19238074,0.19230103,0.052214924,0.14116287,0.1136553,0.034188718,0.34822625,0.03370605,0.09806074,0.30728102,0.1808751,0.1963015,0.18516093,0.026159609,0.6972212
Amoxicillin-Clavulanic acid,0.3377554,0.0,0.49492657,0.0,0.32852045,0.0,0.0,0.18336466,0.46000472,0.34667164,0.34076306,0.48543063,0.0,0.31466135,0.024521368,0.30072817,0.26057026,0.15647456,0.057709187,0.25809225,0.04975606,0.3241164,0.053570706,0.10547984,0.26223612,0.0,0.5320906,0.0,0.0,0.386097
Ampicillin,0.16311863,0.49492657,0.0,0.39453024,0.3821546,0.37900755,0.3969116,0.1372639,0.0,0.38603723,0.36464527,0.28930938,0.20234726,0.36718255,0.040618118,0.2855358,0.5261634,0.078555815,0.1406193,0.25267667,0.023586012,0.33464447,0.027514663,0.005362646,0.31480813,0.9924205,0.2853803,0.992277,0.0,0.30258667
Aztreonam,0.35640183,0.0,0.39453024,0.0,0.93635684,1.0,0.99545723,0.0,0.0,0.99548566,0.0,0.2370515,0.044256825,0.5189147,0.1025773,0.0,0.0,0.12291805,0.21171011,0.14338079,0.072473034,0.5235724,0.072473034,0.014932027,0.45932987,0.3975434,0.0,0.38140672,0.0,0.34678432
Cefepime,0.36914998,0.32852045,0.3821546,0.93635684,0.0,0.9342144,0.93629646,0.08658901,0.77379876,0.8492232,0.87295824,0.38902473,0.014852284,0.49771613,0.038216714,0.20189008,0.2525234,0.12987602,0.1606881,0.28057915,0.011258405,0.50768286,0.012045161,0.073260434,0.45295596,0.3738249,0.2370019,0.35675302,0.0,0.4095547
Cefixime,0.381845,0.0,0.37900755,1.0,0.9342144,0.0,0.99499327,0.0,0.0,0.99499327,0.0,0.22590695,0.042204197,0.49935493,0.11117509,0.0,0.0,0.116348766,0.19715297,0.14075835,0.07854509,0.5019416,0.078526415,0.0,0.46642005,0.38140672,0.0,0.3819574,0.012230212,0.36207598
Cefotaxime,0.35615364,0.0,0.3969116,0.99545723,0.93629646,0.99499327,0.0,0.0,0.0,1.0,0.0,0.23919104,0.042546563,0.5126665,0.10252423,0.0,0.0,0.10433348,0.21171011,0.14193642,0.07243534,0.5174008,0.07241639,0.016188098,0.46118447,0.39936438,0.0,0.38388595,0.0,0.3462556
Cefoxitin,0.0,0.18336466,0.1372639,0.0,0.08658901,0.0,0.0,0.0,0.0,0.15153077,0.3328599,0.16387524,0.0,0.17390324,0.0,0.07963165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095311604,0.23704842,0.0,0.28780183,0.0,0.0,0.0
Cefpodoxime,0.3357251,0.46000472,0.0,0.0,0.77379876,0.0,0.0,0.0,0.0,0.7887702,0.89668953,0.0,0.0,0.5417349,0.0,0.0,0.33146134,0.12564039,0.0,0.0,0.0,0.5425871,0.0,0.14621308,0.45176715,0.0,0.2819546,0.0,0.0,0.37234163
Ceftazidime,0.33492774,0.34667164,0.38603723,0.99548566,0.8492232,0.99499327,1.0,0.15153077,0.7887702,0.0,0.875873,0.44878677,0.042546563,0.48731652,0.037229013,0.26266667,0.2380642,0.119011045,0.15888397,0.19528429,0.010639676,0.5096547,0.011599699,0.08795707,0.38347787,0.39936438,0.23132917,0.38388595,0.0,0.35364622
