,Amikacin,Amoxicillin-Clavulanic acid,Cefepime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Cotrimoxazole,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Norfloxacin,Polymyxin B,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25555217,0.0,0.0,0.06818182,0.0,0.0,0.0,1.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.3557791,0.0,0.45528996,0.0,0.0,0.016763762,0.0,0.0,0.17094086,0.0,0.0,0.0,0.0
Cefepime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefpodoxime,0.0,0.3557791,0.0,0.0,0.61696446,0.6464156,0.0,0.0,0.0,0.0,0.0,0.08804509,0.0,0.0,0.0,0.0
Ceftazidime,0.0,0.0,0.0,0.61696446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06755089,0.0,0.0,0.0,0.0
Ceftriaxone,0.0,0.45528996,0.0,0.6464156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26654005,0.0,0.0,0.06755089,1.0,0.0,0.0,0.0
Cotrimoxazole,0.25555217,0.016763762,0.0,0.0,0.0,0.0,0.0,0.26654005,0.0,0.0,0.0,0.14554557,0.27675465,0.0,0.0,0.25299212
Fosfomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem,0.06818182,0.17094086,0.0,0.08804509,0.06755089,0.0,0.0,0.06755089,0.14554557,0.0,0.0,0.0,0.05081266,0.0,0.0,0.05081266
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27675465,0.0,0.0,0.05081266,0.0,0.0,0.0,0.0
Norfloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polymyxin B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobramycin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25299212,0.0,0.0,0.05081266,0.0,0.0,0.0,0.0
