0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,0.0,0.03515493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024367688,0.0,0.038156077,0.026310574,0.054321878,0.16754216,0.0,0.0,0.059953075,0.0,0.0,0.13292722,0.0,0.0,0.0704504,0.027937436,0.0,0.0,0.0,0.0,0.08406163,0.0,0.27881688
0.0,0.0,0.0,0.0,0.23271209,0.06604242,0.119998164,0.10180318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13096279,0.0,0.17288046,0.0,0.0,0.0,0.0,0.0,0.038867448,0.0,0.13673343,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18656242,0.0,0.0,0.050448645,0.30485347,0.0,0.0,0.0,0.06617561,0.0,0.08236405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11981612,0.0,0.0,0.0,0.0,0.0,0.0,0.18977971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11088445,0.0,0.0,0.0,0.07443493,0.08946928,0.09471113,0.0,0.0,0.0,0.0,0.0,0.005349356,0.0,0.0,0.0,0.0,0.0,0.026876628,0.12659593,0.0,0.20422874,0.0,0.0,0.0,0.0,0.0,0.090903565,0.0,0.15302038,0.0,0.0,0.0,0.023525635,0.0,0.0
0.0,0.034067582,0.0,0.0,0.22520562,0.0,0.06511516,0.07524604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23354885,0.041808248,0.22501817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999036,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.095361434,0.0,0.0,0.1676099,0.030526957,0.0,0.06477298,0.0,0.0,0.0,0.0,0.0,0.0,0.035693746,0.0,0.0,0.0,0.0,0.0,0.09953123,0.0,0.27702126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12008263,0.0,0.04413755,0.06526234,0.0,0.0,0.0
0.0,0.011222484,0.0,0.0,0.34738326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105217986,0.0,0.3213165,0.0,0.0,0.0,0.0,0.0,0.036580663,0.0,0.1782791,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11247616,0.0,0.2776754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26519936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1426758,0.18763492,0.014338303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12336397,0.0,0.09922846,0.0,0.0,0.07613036,0.021445904,0.15946494,0.0,0.0,0.14254144,0.0,0.0,0.13135433,0.0745706,0.0,0.064002044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107898034,0.0
