,Ampicillin,Azithromycin,Cefepime,Cefotaxime,Ceftriaxone,Cefuroxime,Chloramphenicol,Clarithromycin,Clindamycin,Erythromycin,Levofloxacin,Meropenem,Meropenem_with_meningitis,Minocycline,Moxifloxacin,Oxacillin,Penicillin,Penicillin_with_meningitis,Penicillin_with_other_infections,Penicillin_with_pneumonia,Pristinamycin,Tetracycline
Ampicillin,0.0,0.26187393,0.6899838,0.33397374,0.0,0.8304548,0.0,0.29352632,0.305817,0.2758533,0.10660036,0.5954415,0.0,0.25352052,0.0,0.0,0.6697234,0.0,0.0,0.0,0.0,0.2164935
Azithromycin,0.26187393,0.0,0.26935112,0.0,0.0,0.397858,0.16891599,1.0,0.7401527,1.0,0.0,0.26935112,0.0,0.55841696,0.02786391,0.0,0.31667814,0.0,0.0,0.0,0.16891599,0.52579606
Cefepime,0.6899838,0.26935112,0.0,0.3933979,0.0,0.46299246,0.0,0.26935112,0.11595018,0.26935112,0.07537784,0.70801824,0.0,0.28629917,0.0,0.0,0.5509732,0.0,0.0,0.0,0.0,0.21524881
Cefotaxime,0.33397374,0.0,0.3933979,0.0,0.0,0.2309401,0.0,0.0,0.0,0.0,0.028375218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23354968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefuroxime,0.8304548,0.397858,0.46299246,0.2309401,0.0,0.0,0.0,0.397858,0.47488436,0.397858,0.0,0.39696267,0.0,0.3380617,0.19694638,0.0,0.8138413,0.0,0.0,0.0,0.0,0.31794354
Chloramphenicol,0.0,0.16891599,0.0,0.0,0.0,0.0,0.0,0.16891599,0.22821774,0.16891599,0.0,0.0,0.0,0.1269381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14369176
Clarithromycin,0.29352632,1.0,0.26935112,0.0,0.23354968,0.397858,0.16891599,0.0,0.75704855,1.0,0.23551786,0.26935112,0.0,0.55841696,0.05409641,0.6880874,0.3492852,0.7318413,0.5923038,0.40195665,0.16891599,0.54990983
Clindamycin,0.305817,0.7401527,0.11595018,0.0,0.0,0.47488436,0.22821774,0.75704855,0.0,0.7703289,0.16840827,0.12189643,0.0,0.48317656,0.13363062,0.0,0.35259145,0.0,0.0,0.0,0.22821774,0.5707672
Erythromycin,0.2758533,1.0,0.26935112,0.0,0.0,0.397858,0.16891599,1.0,0.7703289,0.0,0.24733877,0.26935112,0.0,0.55841696,0.02786391,0.0,0.31124553,0.0,0.0,0.0,0.16891599,0.54990983
Levofloxacin,0.10660036,0.0,0.07537784,0.028375218,0.0,0.0,0.0,0.23551786,0.16840827,0.24733877,0.0,0.06827887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24516797
Meropenem,0.5954415,0.26935112,0.70801824,0.0,0.0,0.39696267,0.0,0.26935112,0.12189643,0.26935112,0.06827887,0.0,0.0,0.28629917,0.0,0.0,0.411705,0.0,0.0,0.0,0.0,0.0986557
Meropenem_with_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minocycline,0.25352052,0.55841696,0.28629917,0.0,0.0,0.3380617,0.1269381,0.55841696,0.48317656,0.55841696,0.0,0.28629917,0.0,0.0,0.17766726,0.0,0.30748942,0.0,0.0,0.0,0.1269381,0.8212612
Moxifloxacin,0.0,0.02786391,0.0,0.0,0.0,0.19694638,0.0,0.05409641,0.13363062,0.02786391,0.0,0.0,0.0,0.17766726,0.0,0.0,0.28351024,0.0,0.0,0.0,0.0,0.0986557
Oxacillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6880874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88341814,0.75995505,0.39894482,0.0,0.0
Penicillin,0.6697234,0.31667814,0.5509732,0.0,0.0,0.8138413,0.0,0.3492852,0.35259145,0.31124553,0.0,0.411705,0.0,0.30748942,0.28351024,0.0,0.0,0.0,0.0,0.0,0.0,0.22440283
Penicillin_with_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7318413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88341814,0.0,0.0,0.8785014,0.41769376,0.0,0.0
Penicillin_with_other_infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5923038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75995505,0.0,0.8785014,0.0,0.4754617,0.0,0.0
Penicillin_with_pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40195665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39894482,0.0,0.41769376,0.4754617,0.0,0.0,0.0
Pristinamycin,0.0,0.16891599,0.0,0.0,0.0,0.0,0.0,0.16891599,0.22821774,0.16891599,0.0,0.0,0.0,0.1269381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14369176
Tetracycline,0.2164935,0.52579606,0.21524881,0.0,0.0,0.31794354,0.14369176,0.54990983,0.5707672,0.54990983,0.24516797,0.0986557,0.0,0.8212612,0.0986557,0.0,0.22440283,0.0,0.0,0.0,0.14369176,0.0
