,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clarithromycin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Nitrofurantoin,Norfloxacin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin
Amikacin,0.0,0.0,0.18862905,0.0,0.0,0.0,0.0,0.0,0.030676432,0.0,0.0,0.10992698,0.0,0.0,0.0,0.0,0.24412927,0.1666273,0.12981986,0.6276602,0.0,0.0,0.0,0.0,0.0,0.2060829,0.0,0.065232806,0.41252553,0.18972404,0.0,0.0,0.0,0.0,0.20982711,0.0,0.9894488
Amoxicillin-Clavulanic acid,0.0,0.0,0.12612587,0.22843985,1.0,1.0,1.0,1.0,0.0,0.3860548,0.42007592,0.20379712,0.11048004,0.1562393,0.042814787,0.24131422,0.2506486,0.0,0.15719397,0.24506354,1.0,0.38698572,1.0,0.0,0.0,0.077589266,0.0,0.42365927,0.992355,0.2800787,1.0,0.0,0.066181295,0.02817373,0.36835742,0.0,0.0
Ampicillin,0.18862905,0.12612587,0.0,0.0,0.0,0.0,0.0,0.0,0.029778581,0.12026908,0.0660625,0.0,0.0,0.0506013,0.01708466,0.124273956,0.0,0.0,0.0670502,0.11059576,0.0,0.0,0.0,0.017167406,0.0,0.109067194,0.1226698,0.0,0.211416,0.9967955,0.0,0.0,0.038191643,0.0,0.045565855,0.0,0.19083253
Benzylpenicillin,0.0,0.22843985,0.0,0.0,0.0,0.22843985,0.0,0.0,0.0,0.0,0.0,0.056905676,0.13555531,0.0,0.0,0.0,0.030750165,0.06610248,0.050607402,0.016121695,0.0,0.0,0.0,0.0,0.0,0.06610248,0.0,0.0,0.22843985,0.0,0.0,0.0,0.0,0.0,0.048157133,0.0,0.0
Cefazolin,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.38037628,0.0,0.20084175,0.0,0.15850468,0.041557066,0.0,0.252077,0.0,0.16144006,0.24416731,1.0,0.0,1.0,0.0,0.0,0.089596555,0.0,0.0,0.99138623,0.30645123,1.0,0.0,0.075241804,0.02784301,0.3756859,0.0,0.0
Cefepime,0.0,1.0,0.0,0.22843985,1.0,0.0,1.0,1.0,0.0,0.383881,0.0,0.20585328,0.11048004,0.15850468,0.042750675,0.0,0.2506486,0.0,0.15759948,0.24874921,1.0,0.38698572,1.0,0.0,0.0,0.0791705,0.0,0.0,0.9918204,0.30645123,1.0,0.0,0.07514702,0.02817373,0.36835742,0.0,0.0
Ceftriaxone,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.38037628,0.0,0.20084175,0.0,0.15850468,0.041557066,0.0,0.252077,0.0,0.16144006,0.24416731,1.0,0.0,1.0,0.0,0.0,0.089596555,0.0,0.0,0.99138623,0.30645123,1.0,0.0,0.075241804,0.02784301,0.3756859,0.0,0.0
Cefuroxime,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.38037628,0.0,0.20084175,0.0,0.15850468,0.041557066,0.0,0.252077,0.0,0.16144006,0.24416731,1.0,0.0,1.0,0.0,0.0,0.089596555,0.0,0.0,0.99138623,0.30645123,1.0,0.0,0.075241804,0.02784301,0.3756859,0.0,0.0
Chloramphenicol,0.030676432,0.0,0.029778581,0.0,0.0,0.0,0.0,0.0,0.0,0.0043668123,0.0,0.0038898734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013590401,0.0,0.0,0.0,0.0,0.07923206,0.0,0.0,0.0,0.02969501,0.0,0.0,0.0,0.0,0.0,0.0,0.029932104
Ciprofloxacin,0.0,0.3860548,0.12026908,0.0,0.38037628,0.383881,0.38037628,0.38037628,0.0043668123,0.0,0.17565507,0.18970545,0.0,0.09743845,0.0,0.0,0.24610493,0.040600643,0.20098777,0.118088216,0.72161436,1.0,0.37722608,0.0,0.0,0.16305213,0.3291795,0.9629197,0.21457306,0.15560085,0.38056546,0.0,0.06906266,0.005502014,0.0,0.0,0.0
