,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Teicoplanin,Tetracycline
Amoxicillin-Clavulanic acid,0.0,1.0,1.0,1.0,1.0,0.5215591,0.44806746,0.32292336,0.28172335,0.0,0.29984167,0.4322678,1.0,0.0,1.0,0.0,1.0,0.043928057,1.0,0.18934274,0.0,0.06498091
Cefazolin,1.0,0.0,1.0,1.0,1.0,0.53422415,0.4744583,0.3225889,0.28959912,0.0,0.2843837,0.4424803,1.0,0.0,1.0,0.0,1.0,0.04413674,1.0,0.19337311,0.0,0.069125496
Cefepime,1.0,1.0,0.0,1.0,1.0,0.52120227,0.44712448,0.3225889,0.28172335,0.0,0.3030035,0.43183002,1.0,0.0,1.0,0.0,1.0,0.04413674,1.0,0.18917431,0.0,0.06498091
Ceftriaxone,1.0,1.0,1.0,0.0,1.0,0.53422415,0.4744583,0.3225889,0.28959912,0.0,0.2843837,0.4424803,1.0,0.0,1.0,0.0,1.0,0.04413674,1.0,0.19337311,0.0,0.069125496
Cefuroxime,1.0,1.0,1.0,1.0,0.0,0.53422415,0.4744583,0.3225889,0.28959912,0.0,0.2843837,0.4424803,1.0,0.0,1.0,0.0,1.0,0.04413674,1.0,0.19337311,0.0,0.069125496
Ciprofloxacin,0.5215591,0.53422415,0.52120227,0.53422415,0.53422415,0.0,0.43721747,0.19581872,0.2183859,0.0,0.038585234,0.4346988,0.56104755,0.0,0.53422415,0.0,0.46565402,0.02256277,0.53422415,0.28192025,0.0,0.057270397
Clindamycin,0.44806746,0.4744583,0.44712448,0.4744583,0.4744583,0.43721747,0.0,0.055007365,0.5274674,0.0,0.11093157,0.3155531,0.44309103,0.0,0.4744583,0.0,0.44755432,0.037012994,0.4744583,0.09308505,0.0,0.065644026
Cotrimoxazole,0.32292336,0.3225889,0.3225889,0.3225889,0.3225889,0.19581872,0.055007365,0.0,0.12079865,0.0,0.038821142,0.19995318,0.3225889,0.0,0.3225889,0.0,0.3248685,0.014684462,0.3225889,0.4317106,0.0,0.16204679
Erythromycin,0.28172335,0.28959912,0.28172335,0.28959912,0.28959912,0.2183859,0.5274674,0.12079865,0.0,0.0,0.08816936,0.085459806,0.27466512,0.0,0.28959912,0.0,0.27805558,0.06922187,0.28959912,0.061221667,0.22870874,0.29402024
Fosfomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusidic acid,0.29984167,0.2843837,0.3030035,0.2843837,0.2843837,0.038585234,0.11093157,0.038821142,0.08816936,0.0,0.0,0.06044552,0.29087055,0.0,0.2843837,0.0,0.30134404,0.06657068,0.2843837,0.013842612,0.27774602,0.1254617
Gentamicin,0.4322678,0.4424803,0.43183002,0.4424803,0.4424803,0.4346988,0.3155531,0.19995318,0.085459806,0.0,0.06044552,0.0,0.42136794,0.0,0.4424803,0.0,0.4326331,0.021587588,0.4424803,0.29163578,0.0,0.037634473
Imipenem,1.0,1.0,1.0,1.0,1.0,0.56104755,0.44309103,0.3225889,0.27466512,0.0,0.29087055,0.42136794,0.0,0.0,1.0,0.0,0.9599925,0.044456378,1.0,0.19337311,0.0,0.0546388
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meropenem,1.0,1.0,1.0,1.0,1.0,0.53422415,0.4744583,0.3225889,0.28959912,0.0,0.2843837,0.4424803,1.0,0.0,0.0,0.0,1.0,0.04413674,1.0,0.19337311,0.0,0.069125496
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxacillin,1.0,1.0,1.0,1.0,1.0,0.46565402,0.44755432,0.3248685,0.27805558,0.0,0.30134404,0.4326331,0.9599925,0.0,1.0,0.0,0.0,0.04307217,1.0,0.19032498,0.0,0.07185611
Penicillin,0.043928057,0.04413674,0.04413674,0.04413674,0.04413674,0.02256277,0.037012994,0.014684462,0.06922187,0.0,0.06657068,0.021587588,0.044456378,0.0,0.04413674,0.0,0.04307217,0.0,0.04413674,0.007846045,0.049507376,0.046095625
Piperacillin-Tazobactam,1.0,1.0,1.0,1.0,1.0,0.53422415,0.4744583,0.3225889,0.28959912,0.0,0.2843837,0.4424803,1.0,0.0,1.0,0.0,1.0,0.04413674,0.0,0.19337311,0.0,0.069125496
Rifampicin,0.18934274,0.19337311,0.18917431,0.19337311,0.19337311,0.28192025,0.09308505,0.4317106,0.061221667,0.0,0.013842612,0.29163578,0.19337311,0.0,0.19337311,0.0,0.19032498,0.007846045,0.19337311,0.0,0.0,0.064210676
Teicoplanin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22870874,0.0,0.27774602,0.0,0.0,0.0,0.0,0.0,0.0,0.049507376,0.0,0.0,0.0,0.3363364
Tetracycline,0.06498091,0.069125496,0.06498091,0.069125496,0.069125496,0.057270397,0.065644026,0.16204679,0.29402024,0.0,0.1254617,0.037634473,0.0546388,0.0,0.069125496,0.0,0.07185611,0.046095625,0.069125496,0.064210676,0.3363364,0.0
