,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Tigecycline,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.25834292,0.0,0.0,0.74946016,0.25919703,0.7292475,0.86885095,0.0,0.1288346,0.0,0.0,0.0,0.0,0.19355536,0.0,0.14652234,0.35696474,0.17884779,0.0,0.95373243,0.0,0.0
Aztreonam,0.0,0.0,0.0,0.56025785,0.48080102,0.56025785,0.0,0.56025785,0.0,0.4175518,0.3906372,0.1665458,0.0,0.0,0.29369974,0.0,0.41856158,0.2130722,0.25737134,0.3361751,0.0053167427,0.0,0.0,0.23464766,0.41856158
Cefepime,0.0,0.25834292,0.56025785,0.0,0.75984246,1.0,0.0,1.0,0.31491414,0.2616648,0.6152816,0.17423213,0.0,0.0,0.44305336,0.0,0.56140995,0.33048427,0.219757,0.293643,0.14525194,0.0,0.28730336,0.0,0.662609
Cefixime,0.0,0.0,0.48080102,0.75984246,0.0,0.75984246,0.0,0.75984246,0.0,0.16903085,0.38204658,0.081152864,0.0,0.0,0.24739522,0.058114473,0.74701786,0.40032038,0.12981986,0.5693864,0.11021149,0.0,0.0,0.0,0.74701786
Cefotaxime,0.0,0.0,0.56025785,1.0,0.75984246,0.0,0.0,1.0,0.0,0.23393668,0.6152816,0.24910681,0.0,0.0,0.52422243,0.021521244,0.74708736,0.4003815,0.33751035,1.0,0.21090807,0.0,0.0,0.0,0.74708736
Cefpodoxime,0.0,0.74946016,0.0,0.0,0.0,0.0,0.0,0.0,0.80729717,0.0,0.0,0.2781362,0.0,0.061481643,0.0,0.0,0.0,0.0,0.2781362,0.0,0.2781362,0.0,0.7783886,0.0,0.0
Ceftazidime,0.0,0.25919703,0.56025785,1.0,0.75984246,1.0,0.0,0.0,0.31559086,0.26879948,0.6152816,0.17495549,0.0,0.0,0.44305336,0.0,0.56292355,0.3304782,0.219757,0.2901905,0.14702345,0.0,0.28725857,0.0,0.662609
Ceftriaxone,0.0,0.7292475,0.0,0.31491414,0.0,0.0,0.80729717,0.31559086,0.0,0.91908675,0.0,0.26079205,0.0,0.06968813,0.0,0.018970346,0.0,0.0,0.2932462,0.30515146,0.32582474,0.0,0.8102201,0.0,0.0
Cefuroxime,0.0,0.86885095,0.4175518,0.2616648,0.16903085,0.23393668,0.0,0.26879948,0.91908675,0.0,0.0,0.0107436795,0.0,0.0,0.12595114,0.0,0.11192115,0.091629334,0.041362807,0.16278765,0.113110065,0.0,0.83630955,0.089791335,0.17477113
Chloramphenicol,0.0,0.0,0.3906372,0.6152816,0.38204658,0.6152816,0.0,0.6152816,0.0,0.0,0.0,0.4814815,0.0,0.0,1.0,0.0,0.48214287,0.7007649,0.4814815,0.0,0.0,0.0,0.0,0.0,0.48214287
Ciprofloxacin,0.0,0.1288346,0.1665458,0.17423213,0.081152864,0.24910681,0.2781362,0.17495549,0.26079205,0.0107436795,0.4814815,0.0,0.0,0.13436185,0.19599184,0.0,0.11460112,0.0,0.8628356,0.0,0.86061835,0.0,0.14464624,0.3687068,0.13019308
