,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Daptomycin,Erythromycin,Fusidic acid,Gentamicin,Imipenem,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Tetracycline
Amoxicillin-Clavulanic acid,0.0,1.0,1.0,1.0,1.0,0.52770567,0.2174795,0.0,0.41630557,0.22442482,0.0,0.5267827,1.0,1.0,0.0,1.0,0.04417261,1.0,0.0,0.20653157
Cefazolin,1.0,0.0,1.0,1.0,1.0,0.5,0.2974926,0.0,0.4117647,0.3245919,0.0071210912,0.5356832,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20515332
Cefepime,1.0,1.0,0.0,1.0,1.0,0.52740294,0.216304,0.0,0.41630557,0.22442482,0.0,0.52646494,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20653157
Ceftriaxone,1.0,1.0,1.0,0.0,1.0,0.5,0.2974926,0.0,0.4117647,0.3245919,0.0071210912,0.5356832,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20515332
Cefuroxime,1.0,1.0,1.0,1.0,0.0,0.5,0.2974926,0.0,0.4117647,0.3245919,0.0071210912,0.5356832,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20515332
Ciprofloxacin,0.52770567,0.5,0.52740294,0.5,0.5,0.0,0.04173919,0.26492372,0.1261143,0.08008309,0.08557284,0.0,0.6338657,0.5,0.0,0.38035652,0.023482332,0.5,0.43567064,0.06403944
Clindamycin,0.2174795,0.2974926,0.216304,0.2974926,0.2974926,0.04173919,0.0,0.0,0.18004704,0.7632525,0.36921778,0.32927778,0.22200528,0.2974926,0.0,0.21526963,0.034406137,0.2974926,0.0,0.25094151
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.26492372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09504534,0.0,0.0,0.6258328,0.0
Daptomycin,0.41630557,0.4117647,0.41630557,0.4117647,0.4117647,0.1261143,0.18004704,0.0,0.0,0.11938632,0.0,0.50869405,0.34048817,0.4117647,0.0,0.36823842,0.0,0.4117647,0.0,0.0
Erythromycin,0.22442482,0.3245919,0.22442482,0.3245919,0.3245919,0.08008309,0.7632525,0.0,0.11938632,0.0,0.43736905,0.28665853,0.2534336,0.3245919,0.0,0.22434883,0.0,0.3245919,0.0,0.05613609
Fusidic acid,0.0,0.0071210912,0.0,0.0071210912,0.0071210912,0.08557284,0.36921778,0.0,0.0,0.43736905,0.0,0.0,0.0071210912,0.0071210912,0.0,0.0,0.02670515,0.0071210912,0.0,0.15316792
Gentamicin,0.5267827,0.5356832,0.52646494,0.5356832,0.5356832,0.0,0.32927778,0.0,0.50869405,0.28665853,0.0,0.0,0.448575,0.5356832,0.0,0.5166898,0.023482332,0.5356832,0.0,0.0
Imipenem,1.0,1.0,1.0,1.0,1.0,0.6338657,0.22200528,0.0,0.34048817,0.2534336,0.0071210912,0.448575,0.0,1.0,0.0,0.85503095,0.0,1.0,0.0,0.14817095
Meropenem,1.0,1.0,1.0,1.0,1.0,0.5,0.2974926,0.0,0.4117647,0.3245919,0.0071210912,0.5356832,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.20515332
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxacillin,1.0,1.0,1.0,1.0,1.0,0.38035652,0.21526963,0.09504534,0.36823842,0.22434883,0.0,0.5166898,0.85503095,1.0,0.0,0.0,0.044901326,1.0,0.23404501,0.20412415
Penicillin,0.04417261,0.0,0.0,0.0,0.0,0.023482332,0.034406137,0.0,0.0,0.0,0.02670515,0.023482332,0.0,0.0,0.0,0.044901326,0.0,0.0,0.0,0.0
Piperacillin-Tazobactam,1.0,1.0,1.0,1.0,1.0,0.5,0.2974926,0.0,0.4117647,0.3245919,0.0071210912,0.5356832,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.20515332
Rifampicin,0.0,0.0,0.0,0.0,0.0,0.43567064,0.0,0.6258328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23404501,0.0,0.0,0.0,0.0
Tetracycline,0.20653157,0.20515332,0.20653157,0.20515332,0.20515332,0.06403944,0.25094151,0.0,0.0,0.05613609,0.15316792,0.0,0.14817095,0.20515332,0.0,0.20412415,0.0,0.20515332,0.0,0.0
